event_date,contract,source_market,target_market,lag_minute,FEVD
2026-01-28,0bp,CME,PM,1,3.3193654723484126e-05
2026-01-28,0bp,CME,PM,5,0.00020756676177047148
2026-01-28,0bp,CME,PM,30,0.0005738581321015066
2026-01-28,0bp,CME,PM,60,0.0011697089459506227
2026-01-28,0bp,PM,CME,1,1.3576614579292375e-05
2026-01-28,0bp,PM,CME,5,0.0001161796808500303
2026-01-28,0bp,PM,CME,30,0.0005930967833654573
2026-01-28,0bp,PM,CME,60,0.001052641573512441
2026-01-28,0bp,CME,KAL,1,7.24563812732177e-05
2026-01-28,0bp,CME,KAL,5,0.00012423303362840688
2026-01-28,0bp,CME,KAL,30,0.0005675229602380302
2026-01-28,0bp,CME,KAL,60,0.0008747339747371149
2026-01-28,0bp,KAL,CME,1,5.8919248866578254e-05
2026-01-28,0bp,KAL,CME,5,6.305455919378554e-05
2026-01-28,0bp,KAL,CME,30,0.0005085763998313052
2026-01-28,0bp,KAL,CME,60,0.0006716339482298816
2026-01-28,0bp,PM,KAL,1,0.0005313323330493979
2026-01-28,0bp,PM,KAL,5,0.0005695112424244245
2026-01-28,0bp,PM,KAL,30,0.0007051971706619907
2026-01-28,0bp,PM,KAL,60,0.0008893286556318264
2026-01-28,0bp,KAL,PM,1,0.0004205775021114634
2026-01-28,0bp,KAL,PM,5,0.00043451342213008466
2026-01-28,0bp,KAL,PM,30,0.000638794339470889
2026-01-28,0bp,KAL,PM,60,0.0007133724353667463
2026-03-18,0bp,CME,PM,1,1.9744376615306574e-05
2026-03-18,0bp,CME,PM,5,9.671158954844537e-05
2026-03-18,0bp,CME,PM,30,0.0006993347220527118
2026-03-18,0bp,CME,PM,60,0.0009901970864137242
2026-03-18,0bp,PM,CME,1,5.6132579529323884e-08
2026-03-18,0bp,PM,CME,5,9.661479346122267e-06
2026-03-18,0bp,PM,CME,30,0.00021020698979780787
2026-03-18,0bp,PM,CME,60,0.00038209844069309664
2026-03-18,0bp,CME,KAL,1,8.316524073724919e-06
2026-03-18,0bp,CME,KAL,5,5.7321967217395655e-05
2026-03-18,0bp,CME,KAL,30,0.0005750842399784083
2026-03-18,0bp,CME,KAL,60,0.0009343872794667106
